"filename", "language", "XML", "Java Properties", "HTML", "Batch", "JavaScript", "Java", "comment", "blank", "total"
"c:\Users\Admin\Desktop\monkeyapp\application.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Admin\Desktop\monkeyapp\myapp\.mvn\wrapper\MavenWrapperDownloader.java", "Java", 0, 0, 0, 0, 0, 76, 31, 11, 118
"c:\Users\Admin\Desktop\monkeyapp\myapp\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, -1, 0, 0, 0, 0, -16, 0, -17
"c:\Users\Admin\Desktop\monkeyapp\myapp\mvnw.cmd", "Batch", 0, 0, 0, -12, 0, 0, 25, 20, 33
"c:\Users\Admin\Desktop\monkeyapp\myapp\pom.xml", "XML", 26, 0, 0, 0, 0, 0, 3, 4, 33
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\configurations\AppConfigs.java", "Java", 0, 0, 0, 0, 0, 11, 0, 3, 14
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\controller\Account.java", "Java", 0, 0, 0, 0, 0, -33, 0, -7, -40
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\controller\LoginController.java", "Java", 0, 0, 0, 0, 0, 27, 0, 9, 36
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\controller\ProfileController.java", "Java", 0, 0, 0, 0, 0, -13, 0, -3, -16
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\controller\RegistrationController.java", "Java", 0, 0, 0, 0, 0, 50, 0, 17, 67
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\controller\UserProfileController.java", "Java", 0, 0, 0, 0, 0, 42, 2, 15, 59
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\dto\JwtResponse.java", "Java", 0, 0, 0, 0, 0, 21, 0, 6, 27
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\dto\LoginRequest.java", "Java", 0, 0, 0, 0, 0, 17, 0, 1, 18
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\dto\UserInfoDto.java", "Java", 0, 0, 0, 0, 0, 92, 0, 6, 98
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\dto\UserRegistrationDto.java", "Java", 0, 0, 0, 0, 0, 43, 0, 12, 55
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\model\Profile.java", "Java", 0, 0, 0, 0, 0, -116, 0, -16, -132
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\model\User.java", "Java", 0, 0, 0, 0, 0, 28, 0, 8, 36
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\model\UserprofileModel.java", "Java", 0, 0, 0, 0, 0, 101, 0, 18, 119
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\repository\UserProfileRepo.java", "Java", 0, 0, 0, 0, 0, 9, 0, 3, 12
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\repository\UserRepository.java", "Java", 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\security\CustomuserDetails.java", "Java", 0, 0, 0, 0, 0, 40, 0, 5, 45
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\security\JwtAuthenticationEntryPoint.java", "Java", 0, 0, 0, 0, 0, 24, 0, 5, 29
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\security\JwtAuthenticationFilter.java", "Java", 0, 0, 0, 0, 0, 55, 0, 13, 68
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\security\JwtUtil.java", "Java", 0, 0, 0, 0, 0, 48, 0, 8, 56
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\security\SecurityConfig.java", "Java", 0, 0, 0, 0, 0, 7, 0, 6, 13
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\security\UserDetailsServiceImpl.java", "Java", 0, 0, 0, 0, 0, 19, 0, 2, 21
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\service\AccountService.java", "Java", 0, 0, 0, 0, 0, -23, 0, -5, -28
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\service\RegistrationService.java", "Java", 0, 0, 0, 0, 0, 31, 0, 5, 36
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\service\UserProfileService.java", "Java", 0, 0, 0, 0, 0, 38, 1, 13, 52
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\java\com\thaimei\myapp\service\UserService.java", "Java", 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\resources\application.properties", "Java Properties", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\resources\static\js\login.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\resources\static\js\registration.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\resources\templates\UserProfile.html", "HTML", 0, 0, 41, 0, 0, 0, 0, 6, 47
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\resources\templates\error\500.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\resources\templates\login_page.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\resources\templates\profile.html", "HTML", 0, 0, -45, 0, 0, 0, 0, -7, -52
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\resources\templates\signup.html", "HTML", 0, 0, 38, 0, 0, 0, 0, 5, 43
"c:\Users\Admin\Desktop\monkeyapp\myapp\src\main\resources\templates\your_account.html", "HTML", 0, 0, -37, 0, 0, 0, 0, -4, -41
"Total", "-", 26, 0, -2, -12, 2, 605, 46, 162, 827